Sub_tariff,6_digits,CIIU4,description,avgtariff
206900000,20690,1011,"Los demás despojos comestibles de animales de las especies ovina, caprina, caballar, asnal o mular, congelados.",0.150000006
206900000,20690,1011,"Los demás despojos comestibles de animales de las especies ovina, caprina, caballar, asnal o mular, congelados.",0.150000006
207100000,20710,1011,"Carne de aves sin trocear, frescas o refrigeradas.",
207101000,20710,1011,"Gallos y gallinas sin trocear, frescos o refrigerados.",
207102000,20710,1011,"Pavos sin trocear, frescos o refrigerados.",
207103000,20710,1011,"Patos, gansos y pintadas sin trocear, frescos o refrigerados.",
207110000,20711,1011,"Carne de gallo o gallina sin trocear, fresca o refrigerada.",0.200000003
207110000,20711,1011,"Carne de gallo o gallina sin trocear, fresca o refrigerada.",0.200000003
207120000,20712,1011,"Carne de gallo o gallina sin trocear, congelada.",0.200000003
207120000,20712,1011,"Carne de gallo o gallina sin trocear, congelada.",0.200000003
207130000,20713,1011,"Trozos y despojos de gallo o gallina, frescos o refrigerados.",0.200000003
207130000,20713,1011,"Trozos y despojos de gallo o gallina, frescos o refrigerados.",0.200000003
207130000,20713,1011,"Trozos y despojos de gallo o gallina, frescos o refrigerados.",0.200000003
207130010,20713,1011,"Trozos y despojos de cuartos traseros de gallo o gallina, frescos o refrigerados",0.200000003
207130090,20713,1011,"Los demás trozos y despojos de gallo o gallina, frescos o refrigerados",0.200000003
207131000,20713,1011,"«Medios y cuartos traseros, incluidos sus trozos», de gallo o gallina, frescos o refrigerados.",0.200000003
207139000,20713,1011,"Los demás trozos y despojos de gallo o gallina, frescos o refrigerados.",0.200000003
207140000,20714,1011,"Trozos y despojos de gallo o gallina, congelados",0.200000003
207140000,20714,1011,"Trozos y despojos de gallo o gallina, congelados",0.200000003
207140000,20714,1011,"Trozos y despojos de gallo o gallina, congelados",0.200000003
207140010,20714,1011,"Trozos y despojos de cuartos traseros de gallo o gallina, congelados",0.200000003
207140090,20714,1011,"Los demás trozos y despojos de gallo o gallina, congelados",0.200000003
207141000,20714,1011,"«Medios y cuartos traseros, incluidos sus trozos», de gallo o gallina, congelados.",0.200000003
207149000,20714,1011,"Los demás trozos y despojos de gallo o gallina, congelados.",0.200000003
207210000,20721,1011,"Carne de gallos y gallinas sin trocear, congeladas.",
207220000,20722,1011,"Pavos sin trocear, congelados.",
207230000,20723,1011,"Patos, gansos y pintadas, sin trocear, congelados.",
207240000,20724,1011,"Carne de pavo (gallipavo) sin trocear, fresca o refrigerada.",0.200000003
207240000,20724,1011,"Carne de pavo (gallipavo) sin trocear, fresca o refrigerada.",0.200000003
207250000,20725,1011,"Carne de pavo (gallipavo) sin trocear, congelado.",0.200000003
207250000,20725,1011,"Carne de pavo (gallipavo) sin trocear, congelado.",0.200000003
207260000,20726,1011,"Trozos y despojos de pavo (gallipavo), frescos o refrigerados.",0.200000003
207260000,20726,1011,"Trozos y despojos de pavo (gallipavo), frescos o refrigerados.",0.200000003
207270000,20727,1011,"Trozos y despojos de pavo (gallipavo), congelados.",0.200000003
207270000,20727,1011,"Trozos y despojos de pavo (gallipavo), congelados.",0.200000003
207310000,20731,1011,Hígados grasos de ganso o de pato frescos o refrigerados.,
207320000,20732,1011,"Carne de pato, ganso o pintada, sin trocear, fresca o refrigerada.",
207320000,20732,1011,"Carne de pato, ganso o pintada, sin trocear, fresca o refrigerada.",
207330000,20733,1011,"Carne de pato, ganso o pintada, sin trocear, congelada.",
